"TI","AB","AU","PY","SO"
"FUTURE PATHS FOR INTEGER PROGRAMMING AND LINKS TO ARTIFICIAL-INTELLIGENCE","","GLOVER, F",1986,"COMPUTERS & OPERATIONS RESEARCH"
"High-performance medicine: the convergence of human and artificial intelligence","The use of artificial intelligence, and the deep-learning subtype in particular, has been enabled by the use of labeled big data, along with markedly enhanced computing power and cloud storage, across all sectors. In medicine, this is beginning to have an impact at three levels: for clinicians, predominantly via rapid, accurate image interpretation; for health systems, by improving workflow and the potential for reducing medical errors; and for patients, by enabling them to process their own data to promote health. The current limitations, including bias, privacy and security, and lack of transparency, along with the future directions of these applications will be discussed in this article. Over time, marked improvements in accuracy, productivity, and workflow will likely be actualized, but whether that will be used to improve the patient-doctor relationship or facilitate its erosion remains to be seen.","Topol, EJ",2019,"NATURE MEDICINE"
"Advances of flexible pressure sensors toward artificial intelligence and health care applications","By virtue of their wide applications in personal electronic devices and industrial monitoring, pressure sensors are attractive candidates for promoting the advancement of science and technology in modern society. Flexible pressure sensors based on organic materials, which combine unique advantages of flexibility and low-cost, have emerged as a highly active field due to their promising applications in artificial intelligence systems and wearable health care devices. In this review, we focus on the fundamentals of flexible pressure sensors, and subsequently on several critical concepts for the exploration of functional materials and optimization of sensing devices toward practical applications. Perspectives on self-powered, transparent and implantable pressure sensing devices are also examined to highlight the development directions in this exciting research field.","Zang, YP; Zhang, FJ; Di, CA; Zhu, DB",2015,"MATERIALS HORIZONS"
"Deep Machine Learning-A New Frontier in Artificial Intelligence Research","","Arel, I; Rose, DC; Karnowski, TP",2010,"IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE"
"Probabilistic machine learning and artificial intelligence","How can a machine learn from experience? Probabilistic modelling provides a framework for understanding what learning is, and has therefore emerged as one of the principal theoretical and practical approaches for designing machines that learn from data acquired through experience. The probabilistic framework, which describes how to represent and manipulate uncertainty about models and predictions, has a central role in scientific data analysis, machine learning, robotics, cognitive science and artificial intelligence. This Review provides an introduction to this framework, and discusses some of the state-of-the-art advances in the field, namely, probabilistic programming, Bayesian optimization, data compression and automatic model discovery.","Ghahramani, Z",2015,"NATURE"
"A comparison of performance of several artificial intelligence methods for forecasting monthly discharge time series","Developing a hydrological forecasting model based on past records is crucial to effective hydropower reservoir management and scheduling. Traditionally, time series analysis and modeling is used for building mathematical models to generate hydrologic records in hydrology and water resources. Artificial intelligence (AI), as a branch of computer science, is capable of analyzing long-series and large-scale hydrological data. In recent years, it is one of front issues to apply AI technology to the hydrological forecasting modeling. In this paper, autoregressive moving-average (ARMA) models, artificial neural networks (ANNs) approaches, adaptive neural-based fuzzy inference system (ANFIS) techniques, genetic programming (GP) models and support vector machine (SVM) method are examined using the long-term observations of monthly river flow discharges. The four quantitative standard statistical performance evaluation measures, the coefficient of correlation (R), Nash-Sutcliffe efficiency coefficient (E), root mean squared error (RMSE), mean absolute percentage error (MAPE), are employed to evaluate the performances of various models developed. Two case study river sites are also provided to illustrate their respective performances. The results indicate that the best performance can be obtained by ANFIS, GP and SVM, in terms of different evaluation criteria during the training and validation phases. (C) 2009 Elsevier B.V. All rights reserved.","Wang, WC; Chau, KW; Cheng, CT; Qiu, L",2009,"JOURNAL OF HYDROLOGY"
"Artificial intelligence for fault diagnosis of rotating machinery: A review","Fault diagnosis of rotating machinery plays a significant role for the reliability and safety of modern industrial systems. As an emerging field in industrial applications and an effective solution for fault recognition, artificial intelligence (AI) techniques have been receiving increasing attention from academia and industry. However, great challenges are met by the AI methods under the different real operating conditions. This paper attempts to present a comprehensive review of AI algorithms in rotating machinery fault diagnosis, from both the views of theory background and industrial applications. A brief introduction of different AI algorithms is presented first, including the following methods: k-nearest neighbour, naive Bayes, support vector machine, artificial neural network and deep learning. Then, a broad literature survey of these AI algorithms in industrial applications is given. Finally, the advantages, limitations, practical implications of different AI algorithms, as well as some new research trends, are discussed. (C) 2018 Elsevier Ltd. All rights reserved.","Liu, RN; Yang, BY; Zio, E; Chen, XF",2018,"MECHANICAL SYSTEMS AND SIGNAL PROCESSING"
"STEPS TOWARD ARTIFICIAL INTELLIGENCE","","MINSKY, M",1961,"PROCEEDINGS OF THE INSTITUTE OF RADIO ENGINEERS"
"Artificial intelligence in radiology","Artificial intelligence (AI) algorithms, particularly deep learning, have demonstrated remarkable progress in image-recognition tasks. Methods ranging from convolutional neural networks to variational autoencoders have found myriad applications in the medical image analysis field, propelling it forward at a rapid pace. Historically, in radiology practice, trained physicians visually assessed medical images for the detection, characterization and monitoring of diseases. AI methods excel at automatically recognizing complex patterns in imaging data and providing quantitative, rather than qualitative, assessments of radiographic characteristics. In this Opinion article, we establish a general understanding of AI methods, particularly those pertaining to image-based tasks. We explore how these methods could impact multiple facets of radiology, with a general focus on applications in oncology, and demonstrate ways in which these methods are advancing the field. Finally, we discuss the challenges facing clinical implementation and provide our perspective on how the domain could be advanced.","Hosny, A; Parmar, C; Quackenbush, J; Schwartz, LH; Aerts, HJWL",2018,"NATURE REVIEWS CANCER"
"Artificial intelligence in healthcare: past, present and future","Artificial intelligence (AI) aims to mimic human cognitive functions. It is bringing a paradigm shift to healthcare, powered by increasing availability of healthcare data and rapid progress of analytics techniques. We survey the current status of AI applications in healthcare and discuss its future. AI can be applied to various types of healthcare data (structured and unstructured). Popular AI techniques include machine learning methods for structured data, such as the classical support vector machine and neural network, and the modern deep learning, as well as natural language processing for unstructured data. Major disease areas that use AI tools include cancer, neurology and cardiology. We then review in more details the AI applications in stroke, in the three major areas of early detection and diagnosis, treatment, as well as outcome prediction and prognosis evaluation. We conclude with discussion about pioneer AI systems, such as IBM Watson, and hurdles for real-life deployment of AI.","Jiang, F; Jiang, Y; Zhi, H; Dong, Y; Li, H; Ma, SF; Wang, YL; Dong, Q; Shen, HP; Wang, YJ",2017,"STROKE AND VASCULAR NEUROLOGY"
