source,target,weight
36,510,1
36,601,2
36,802,3
36,821,2
36,956,2
36,1002,2
36,1654,2
36,1719,1
36,1816,2
36,1818,3
36,1922,3
36,2174,3
36,2176,2
36,2225,1
36,2272,1
67,81,1
67,338,1
67,1093,1
67,1236,1
67,1382,1
67,1867,1
67,2241,1
67,2303,2
67,2310,1
81,1236,2
81,1491,1
81,2099,1
81,2203,1
81,2303,1
81,2310,1
81,2425,1
98,355,1
98,356,3
98,758,1
98,912,3
98,918,2
98,922,4
98,1928,2
98,2527,1
136,541,1
136,2203,1
136,2241,1
166,361,1
166,484,1
166,639,1
166,749,1
166,1009,2
166,1033,1
166,1034,3
166,1194,1
166,1405,1
166,1777,1
166,2108,2
166,2310,1
166,2325,1
166,2491,1
166,2505,1
197,765,1
197,872,2
197,2470,1
237,367,1
237,1274,1
237,1760,1
237,1799,1
237,2225,1
237,2422,1
262,386,1
262,483,1
262,549,1
262,795,1
262,1081,2
262,1912,1
262,2075,1
262,2156,1
262,2325,1
262,2404,1
301,464,3
301,578,2
301,935,2
301,1374,3
301,1721,2
301,1945,3
301,2094,1
301,2434,3
333,361,2
333,367,2
333,386,1
333,580,1
333,719,1
333,749,1
333,996,2
333,1033,1
333,1093,1
333,1358,1
333,1621,1
333,1679,1
333,1739,1
333,1760,1
333,2000,1
338,696,1
338,985,1
338,2062,1
338,2303,2
338,2325,1
338,2432,1
350,496,1
350,749,2
350,827,2
350,1093,1
350,1460,1
350,2062,1
350,2108,1
350,2225,1
350,2373,2
350,2558,1
355,758,1
355,912,1
355,1928,1
355,2079,1
355,2328,1
355,2527,1
356,912,1
356,918,3
356,922,3
356,1928,1
356,2527,1
361,521,1
361,580,2
361,996,1
361,1009,1
361,1033,2
361,1194,2
361,1358,1
361,1382,1
361,1405,1
361,1589,2
361,1621,1
361,2108,1
361,2384,2
361,2491,1
367,386,1
367,496,1
367,719,2
367,1093,1
367,1274,1
367,1358,1
367,1739,1
367,1760,2
367,2225,1
367,2422,1
386,719,1
386,818,2
386,1081,1
386,1106,1
386,1669,1
386,1739,1
386,2075,1
386,2404,2
418,580,1
418,610,1
418,1093,1
418,1683,1
418,1687,1
418,1719,1
418,1808,1
449,484,2
449,825,2
449,1058,1
449,1184,2
449,1277,2
464,578,2
464,1374,2
464,1721,2
464,1945,3
464,2434,2
483,1081,1
483,1106,1
483,1912,2
483,2075,1
483,2109,1
483,2156,3
484,639,1
484,660,1
484,825,2
484,1034,1
484,1058,1
484,1184,2
484,1277,2
484,1777,1
484,1909,1
484,2108,1
484,2247,1
484,2325,2
484,2505,1
496,696,1
496,719,1
496,827,1
496,985,1
496,1093,1
496,1358,1
496,1460,1
496,1648,1
496,2062,1
496,2108,1
496,2373,2
496,2432,1
510,758,1
510,1719,1
510,1928,1
510,2143,1
510,2272,2
521,996,1
521,1382,1
521,1760,1
521,1808,1
521,2343,1
521,2505,1
541,1590,1
549,719,1
549,720,1
549,795,1
549,1361,1
549,1756,1
549,2225,2
549,2325,1
549,2343,3
549,2422,1
578,612,1
578,758,1
578,872,2
578,1374,1
578,1379,1
578,1382,1
578,1673,1
578,1721,1
578,1945,2
578,2204,1
578,2434,2
580,852,1
580,1009,1
580,1093,2
580,1194,1
580,1358,1
580,1382,1
580,1405,2
580,1589,4
580,1621,2
580,1679,2
580,1687,2
580,2000,1
580,2108,1
580,2225,1
580,2384,1
580,2491,3
580,2558,1
601,802,2
601,821,1
601,956,2
601,1002,2
601,1654,2
601,1816,1
601,1818,2
601,1922,2
601,2174,3
601,2176,2
607,758,1
607,827,1
607,1002,1
607,1093,1
607,1683,1
607,2062,2
607,2374,2
607,2558,1
610,1518,1
610,2325,1
612,872,2
612,1379,3
612,1462,1
612,2094,1
612,2197,1
612,2204,1
612,2284,1
629,818,2
629,976,1
629,1361,1
629,1669,1
629,2247,1
629,2286,1
629,2294,1
629,2339,1
629,2404,1
639,1034,1
639,1621,1
639,1777,1
639,2108,1
639,2325,1
639,2505,2
655,872,1
655,1981,1
655,2197,1
660,1106,1
660,2075,1
660,2113,2
660,2325,1
696,985,2
704,852,1
704,1756,1
704,1776,1
704,1789,2
704,1867,1
704,2382,1
709,827,2
709,1683,1
